question_num,question_text,option,count
33,"Чи знайомі Ви з політикою, стандартами й процедурами дотримання академічної добр",Ні,7
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Так,1
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Скоріше так,20
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Скоріше ні,3
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Ні,0
34,"Чи вважаєте Ви викладачів, які у Вас викладають, професіоналами високого рівня?",Важко відповісти,7
35,"Чи можете Ви сказати, що Ваші стосунки з викладачами загалом мають доброзичливий",Так,4
35,"Чи можете Ви сказати, що Ваші стосунки з викладачами загалом мають доброзичливий",Скоріше так,21
35,"Чи можете Ви сказати, що Ваші стосунки з викладачами загалом мають доброзичливий",Скоріше ні,3
35,"Чи можете Ви сказати, що Ваші стосунки з викладачами загалом мають доброзичливий",Ні,1
35,"Чи можете Ви сказати, що Ваші стосунки з викладачами загалом мають доброзичливий",Важко відповісти,2
36,"Чи вважаєте Ви доцільним залучати до освітнього процесу професіоналів-практиків,",Так,18
36,"Чи вважаєте Ви доцільним залучати до освітнього процесу професіоналів-практиків,",Лише для опрацювання деяких тем,13
36,"Чи вважаєте Ви доцільним залучати до освітнього процесу професіоналів-практиків,",Ні,0
36,"Чи вважаєте Ви доцільним залучати до освітнього процесу професіоналів-практиків,",Важко відповісти,0
37,Чи задоволені Ви рівнем матеріально-технічного забезпечення навчання на освітній,Так,1
37,Чи задоволені Ви рівнем матеріально-технічного забезпечення навчання на освітній,Частково,15
37,Чи задоволені Ви рівнем матеріально-технічного забезпечення навчання на освітній,Ні,14
37,Чи задоволені Ви рівнем матеріально-технічного забезпечення навчання на освітній,Важко відповісти,1
39,Чи задоволені Ви рівнем інформаційного та навчально-методичного забезпечення нав,Так,3
39,Чи задоволені Ви рівнем інформаційного та навчально-методичного забезпечення нав,Частково,21
39,Чи задоволені Ви рівнем інформаційного та навчально-методичного забезпечення нав,Ні,4
39,Чи задоволені Ви рівнем інформаційного та навчально-методичного забезпечення нав,Важко відповісти,3
41,"Чи задоволені Ви рівнем організаційної, інформаційної, соціальної, консультаційн",Так,5
41,"Чи задоволені Ви рівнем організаційної, інформаційної, соціальної, консультаційн",Частково,19
41,"Чи задоволені Ви рівнем організаційної, інформаційної, соціальної, консультаційн",Ні,3
41,"Чи задоволені Ви рівнем організаційної, інформаційної, соціальної, консультаційн",Важко відповісти,4
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Куратор групи,17
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Деканат,3
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Викладачі,6
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Одногрупники,23
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Батьки,15
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Друзі,14
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Студентське самоврядування,3
42,Хто Вам надає найкращу підтримку? (позначте не більше 3-х варіантів),Підтримка не надається,0
43,Чи добре Ви знайомі з діяльністю Молодіжного центру університету?,Так,4
43,Чи добре Ви знайомі з діяльністю Молодіжного центру університету?,Тільки чув(ла) про його існування,21
43,Чи добре Ви знайомі з діяльністю Молодіжного центру університету?,Ні,6
44,Чи знайомі Ви з діяльністю психологічної служби університету?,Так,1
44,Чи знайомі Ви з діяльністю психологічної служби університету?,Тільки чув(ла) про її існування,11
44,Чи знайомі Ви з діяльністю психологічної служби університету?,Ні,19
45,"Чи поінформовані Ви про процедури врегулювання конфліктних ситуацій (зокрема, пр",Так,7
45,"Чи поінформовані Ви про процедури врегулювання конфліктних ситуацій (зокрема, пр",Частково,12
45,"Чи поінформовані Ви про процедури врегулювання конфліктних ситуацій (зокрема, пр",Ні,12
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,До куратора групи,27
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,До декана факультету,20
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,У навчально-методичний відділ,2
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,До проректора університету,0
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,До ректора університету,2
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,До Міністерства освіти і науки України,0
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,На гарячу лінію МОН або виконавчої влади,0
46,До кого Ви будете звертатися в разі конфліктної ситуації? (позначте не більше 3-,"Ні до кого, буду самостійно розв’язувати конфлікт",8
47,"Чи залучаються студенти, зокрема студентське самоврядування, до перегляду освітн",Так,5
47,"Чи залучаються студенти, зокрема студентське самоврядування, до перегляду освітн",Час від часу,7
47,"Чи залучаються студенти, зокрема студентське самоврядування, до перегляду освітн",Ні,8
47,"Чи залучаються студенти, зокрема студентське самоврядування, до перегляду освітн",Важко відповісти,11
48,Чи подавали Ви або Ваші одногрупники пропозиції щодо перегляду освітньої програм,Так,2
48,Чи подавали Ви або Ваші одногрупники пропозиції щодо перегляду освітньої програм,Ні,14
48,Чи подавали Ви або Ваші одногрупники пропозиції щодо перегляду освітньої програм,Не знаю,15
49,"Чи вважаєте Ви освітню програму, за якою навчаєтеся, актуальною, затребуваною, т",Так,1
49,"Чи вважаєте Ви освітню програму, за якою навчаєтеся, актуальною, затребуваною, т",Скоріше так,8
49,"Чи вважаєте Ви освітню програму, за якою навчаєтеся, актуальною, затребуваною, т",Скоріше ні,13
49,"Чи вважаєте Ви освітню програму, за якою навчаєтеся, актуальною, затребуваною, т",Ні,6
49,"Чи вважаєте Ви освітню програму, за якою навчаєтеся, актуальною, затребуваною, т",Важко відповісти,3
